Date,Open,High,Low,Close,Volume,return_pct,volume_change,ma_5,ma_20,std_5,std_20,price_diff,target_up_down
2005-02-01,364.5974,372.741,361.258,369.7766,41525725.0,0.018679544678178228,1.009027718679877,355.13828,355.76176999999996,11.845389126238082,8.658898791848415,5.17919999999998,0
2005-02-02,372.7754,373.1158,357.1008,363.8136,16445522.0,-0.01612595280501783,-0.6039678536617964,359.56116000000003,355.44658,9.461711560177617,8.212041852612112,-8.961799999999982,1
2005-02-03,364.5974,370.39,364.5974,368.7542,8457708.0,0.013580031092845335,-0.48571361857653406,364.31791999999996,355.79755,5.398699407449699,8.634089221068356,4.1568000000000325,0
2005-02-04,369.3676,371.6846,362.9278,365.5174,14332299.0,-0.008777662735773628,0.6945842774425413,366.17156000000006,356.01734999999996,2.989081161159263,8.830474450119366,-3.8501999999999725,0
2005-02-07,366.3012,367.9366,355.0564,361.2918,9380478.0,-0.011560598756721219,-0.34550081602400284,365.83072000000004,356.16044999999997,3.495906233295909,8.894583380882665,-5.009399999999971,1
2005-02-08,359.8268,365.449,359.8268,363.4728,9198176.0,0.006036671742895905,-0.019434190880251556,364.56996000000004,355.9049,2.780633040873522,8.586964962632262,3.646000000000015,1
2005-02-09,364.6314,367.9708,364.1202,366.0624,7441594.0,0.007124604647170241,-0.19097068810164097,365.01972,356.02927,2.809428627318628,8.720871493214329,1.43100000000004,1
2005-02-10,368.0048,371.0712,362.2122,369.6402,11675237.0,0.009773743492912601,0.5689161488788559,365.19692000000003,356.60171,3.1151666170523318,9.231089491147804,1.6354000000000042,1
2005-02-11,370.0492,376.1144,370.0492,373.8312,20958963.0,0.011338052517015251,0.7951638155182632,366.85967999999997,357.63244,4.986012480128461,9.955679468651393,3.782000000000039,0
2005-02-14,374.1382,377.4094,367.0848,370.1514,14641154.0,-0.009843480158959417,-0.3014370987724917,368.6316,358.41445000000004,3.986756583991089,10.305713661822473,-3.9867999999999597,0
2005-02-15,370.7308,371.412,364.1884,367.2892,15073768.0,-0.007732511615517357,0.029547807502058987,369.39488,359.28675,2.9938583286448472,10.280343181630958,-3.441599999999994,0
2005-02-16,368.107,370.5262,363.2342,364.427,11477977.0,-0.007792769294604818,-0.23854626129312861,369.0678,360.08069,3.4961497708187736,10.017149931355931,-3.680000000000007,1
2005-02-17,362.9616,366.3012,361.2918,364.6652,11002512.0,0.000653628847478327,-0.04142411158342629,368.07280000000003,360.89334999999994,3.968544219231584,9.674093571873774,1.7036000000000513,0
2005-02-18,368.0048,369.7084,362.2122,364.2224,12369461.0,-0.001214264481502525,0.12423971907506215,366.15104,361.61914,2.559197871989776,9.32900800888797,-3.7823999999999955,0
2005-02-21,364.2566,367.2892,362.0756,363.7794,11053787.0,-0.0012162898273142542,-0.10636469931874959,364.87664,362.38921999999997,1.3873801166217636,8.799074689127453,-0.4771999999999821,1
2005-02-22,361.8714,368.6864,361.8714,367.7662,11897177.0,0.010959389124288066,0.07629873816095789,364.97204,363.51878999999997,1.5955328100660884,7.874367752725257,5.894800000000032,1
2005-02-23,367.255,374.6834,366.642,373.4908,16547346.0,0.015565867662661548,0.39086322746984425,366.7848,365.10837000000004,4.062776422595316,6.2866561555410225,6.235799999999983,0
2005-02-24,374.8198,377.4094,371.7528,372.5366,49516003.0,-0.0025548152725581863,1.9923833707230152,368.35908,366.48668,4.533853783702749,4.368336205202872,-2.2831999999999653,0
2005-02-25,374.8198,375.3306,366.778,367.9366,13077148.0,-0.012347780057046842,-0.7359005733964432,369.10192,367.07105,3.953815629489495,3.649306842257782,-6.883199999999988,1
2005-02-28,368.0048,381.5662,364.6652,378.9426,34191600.0,0.029912762144347793,1.6146067934690347,372.13456,367.86838,4.611286940539937,4.38084546317407,10.937800000000038,0
2005-03-01,379.59,380.2716,371.1056,372.6388,17428282.0,-0.016635237104511424,-0.49027591572199014,373.10908,368.01149000000004,3.9204308349968082,4.491807316707095,-6.951199999999972,1
2005-03-02,369.3676,375.8418,369.3676,374.0016,14383106.0,0.003657160768014478,-0.17472611471400334,373.21124,368.52089,3.9394736384438134,4.567734072578208,4.6340000000000146,1
2005-03-03,374.8198,382.8952,374.8198,380.578,17986884.0,0.01758388199408767,0.25055631238482157,374.81952,369.11208,5.073435748286668,5.305156638751276,5.758199999999988,1
2005-03-04,381.6344,390.6644,381.6344,389.744,26122693.0,0.024084418962735832,0.45231897865133286,379.181,370.32341,6.767790957172962,6.951550540699367,8.1096,1
2005-03-07,391.1756,401.4658,390.494,399.0466,19817265.0,0.023868488033170543,-0.24137741082054598,383.2018,372.21115,11.146333964133303,9.14887816507998,7.871000000000038,1
2005-03-08,399.0466,404.1918,396.2866,402.42,24450959.0,0.008453649273042263,0.23382106461209462,389.15803999999997,374.15851000000004,12.013963864103754,11.123018096953814,3.3734000000000037,0
2005-03-09,405.4868,409.4394,398.0924,400.3072,25470893.0,-0.005250236071765779,0.041713455901668306,394.41916000000003,375.87075,9.131408542387634,12.376294776177835,-5.1795999999999935,1
2005-03-10,400.0346,406.9858,396.6274,404.7714,15894892.0,0.011151935313679084,-0.37595858928071346,399.25784000000004,377.62730999999997,5.745814346808339,13.850704963624542,4.7368000000000166,0
2005-03-11,404.8052,409.5076,398.808,400.4776,20312703.0,-0.010607962914375935,0.2779390385288556,401.40456000000006,378.95963,2.2355177896827767,14.720594778641,-4.327600000000018,0
2005-03-14,400.7164,404.8052,392.0272,394.2082,14189408.0,-0.015654808159058176,-0.3014515104169051,400.43688000000003,380.16247,3.922236547174134,14.944141242609364,-6.508200000000045,0
2005-03-15,395.2646,397.922,387.9726,388.8242,16996847.0,-0.013657757499717094,0.19785455460862078,397.71772,381.23922000000005,6.234744871443339,14.742235185365793,-6.440399999999954,1
2005-03-16,387.8022,393.4926,386.7458,390.8686,19403711.0,0.005257903186067114,0.14160649913481005,395.83000000000004,382.56129999999996,6.668503928167803,14.335184492562187,3.0663999999999874,0
2005-03-17,391.1756,391.1756,380.6806,382.9634,18000565.0,-0.02022469955376316,-0.0723132806915131,391.4684,383.47621000000004,6.487656883651477,13.702867270677173,-8.212199999999996,1
2005-03-18,385.0422,390.7666,381.6344,389.574,17603857.0,0.017261701770978632,-0.022038641564862016,389.28768,384.74379,4.092802691553903,12.981650044254014,4.5318000000000325,0
2005-03-21,388.4494,391.1756,380.2716,381.328,11376315.0,-0.021166710304075798,-0.3537600879170968,386.71164,385.62122000000005,4.2711009620461535,12.049690593782964,-7.121400000000051,0
2005-03-22,382.316,382.316,368.7204,371.0374,17231661.0,-0.02698621659044176,0.5146961911655927,383.15427999999997,385.78478000000007,7.920133406199188,11.814480084852466,-11.278599999999983,1
2005-03-23,368.6864,388.6882,367.9366,376.9664,53118424.0,0.015979521201905822,2.082606139942052,380.37384,385.95856,6.910841944943665,11.648525422035041,8.28000000000003,1
2005-03-24,378.9088,387.0184,378.568,381.7026,30021137.0,0.012563984482436563,-0.4348262855087719,380.12168,386.41686,6.815071613122847,11.266714257699043,2.793800000000033,1
2005-03-28,383.679,391.039,382.3844,386.439,14447376.0,0.012408613407401514,-0.5187598657572496,379.49467999999996,387.34198000000004,5.7960619813795144,10.395347373634708,2.7600000000000477,0
2005-03-29,387.7678,387.7678,372.4684,374.1042,18012251.0,-0.03191913859625972,0.24674895981111034,378.04992000000004,387.10006000000004,6.116307977202692,10.654182333140218,-13.66360000000003,0
